Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,22.051800,23.257601,21.951300,23.011000,22.908735,25548647
2016-01-20,22.782600,23.001801,22.207100,22.316700,22.217522,25553471
2016-01-21,21.951300,22.636400,21.028700,21.028700,20.935246,21114159
2016-01-22,21.448900,21.613300,20.444000,21.165701,21.071638,18120192
2016-01-25,21.421499,21.659000,21.083500,21.330099,21.235306,14258870
2016-01-26,21.184000,21.257099,19.201700,19.201700,19.116365,24785986
2016-01-27,19.685900,19.704100,17.703600,18.909401,18.825365,23274509
2016-01-28,18.434401,19.347900,17.968500,18.105499,18.025036,21518329
2016-01-29,18.269899,19.366100,18.096399,19.028099,18.943535,18681091
2016-02-01,18.891100,19.448299,18.452600,18.872801,18.788927,16412197
2016-02-02,19.000700,20.188299,18.955000,19.896000,19.807579,20392574
2016-02-03,19.567101,19.868500,19.183399,19.749800,19.662029,16645392
2016-02-04,19.786301,20.626801,19.786301,20.179100,20.089422,20044035
2016-02-05,20.188299,20.325300,19.868500,19.905100,19.816639,14235425
2016-02-15,19.905100,19.905100,18.735800,19.475700,19.389147,12401917
2016-02-16,19.777201,20.891701,19.777201,20.827700,20.735138,25558169
2016-02-17,20.782000,21.129200,20.462299,20.955601,20.862471,24435587
2016-02-18,21.147400,21.284500,20.581100,20.617599,20.525970,18008525
2016-02-19,20.471500,21.229700,20.462299,20.973900,20.880688,21176881
2016-02-22,21.302700,21.494600,20.919100,21.348400,21.253525,22877789
2016-02-23,21.339300,21.540300,20.654200,20.992100,20.898808,18427379
2016-02-24,20.800301,21.174900,20.389200,20.919100,20.826132,16510109
2016-02-25,20.919100,21.220501,18.827200,19.046400,18.961756,31579227
2016-02-26,19.366100,19.640200,18.589600,19.137800,19.052750,16632062
2016-02-29,19.357000,19.357000,17.347300,17.721800,17.643042,22876671
2016-03-01,17.721800,18.343000,17.000200,18.087200,18.006819,22186927
2016-03-02,17.977600,19.064699,17.886299,18.872801,18.788927,22882494
2016-03-03,18.891100,20.334400,18.735800,19.393499,19.307312,32509865
2016-03-04,19.000700,19.183399,18.279100,18.516600,18.434309,24231545
2016-03-07,19.000700,19.457500,18.735800,18.909401,18.825365,13018349
2016-03-08,18.845400,19.028099,17.822300,18.973301,18.888981,14614741
2016-03-09,18.352100,19.092100,18.315599,18.598801,18.516146,11736064
2016-03-10,18.799801,18.882000,18.151199,18.224300,18.143311,10963236
2016-03-11,18.224300,18.607901,18.069000,18.352100,18.270540,9372878
2016-03-14,18.818001,19.713200,18.562300,19.366100,19.280035,27017830
2016-03-15,19.357000,19.375299,18.863701,19.000700,18.916258,15465555
2016-03-16,19.283899,19.402700,18.498301,18.589600,18.506987,14712555
2016-03-17,18.671900,19.612801,18.635300,19.576200,19.489202,27795325
2016-03-18,19.749800,20.973900,19.594500,20.517099,20.425919,37435991
2016-03-21,20.873400,20.937300,20.507999,20.836800,20.744198,34936255
2016-03-22,20.626801,21.275299,20.444000,20.846001,20.753357,28398507
2016-03-23,20.736401,21.339300,20.571899,21.120001,21.026140,25916928
2016-03-24,20.983000,21.741199,20.718100,21.010401,20.917028,36739605
2016-03-25,20.836800,21.220501,20.507999,20.900801,20.807915,22382077
2016-03-28,21.174900,22.928801,21.120001,21.695499,21.599081,53582640
2016-03-29,21.631599,22.691200,21.385000,22.563400,22.463125,57257996
2016-03-30,22.106600,23.385500,21.914801,23.285000,23.181519,63159672
2016-03-31,23.540800,23.906200,22.736900,23.376400,23.272512,49614806
2016-04-01,23.321600,23.449400,22.773500,23.129700,23.026909,26818048
2016-04-05,23.129700,23.486000,22.472000,23.266800,23.163401,42037954
2016-04-06,22.974400,23.202801,22.462900,22.837400,22.735909,31835513
2016-04-07,22.846500,23.148001,22.271000,22.289301,22.190245,23573360
2016-04-08,22.051800,22.115700,21.247900,21.613300,21.517248,28043485
2016-04-11,21.841700,22.453699,21.841700,22.070101,21.972019,20514625
2016-04-12,23.696100,24.280701,23.074900,24.280701,24.172794,41916698
