Date,Open,High,Low,Close,Adj Close,Volume
2010-01-22,3.176680,3.345680,3.089900,3.089900,2.929451,104715638
2010-01-25,3.092190,3.142430,3.014540,3.060210,2.901302,68390768
2010-01-26,3.044230,3.101320,2.895780,2.980280,2.825523,80183269
2010-01-27,2.980280,3.080770,2.900350,2.900350,2.749743,74269565
2010-01-28,2.843260,2.978000,2.815850,2.966580,2.812534,64788166
2010-01-29,2.900350,3.263470,2.884370,3.263470,3.094008,92599055
2010-02-01,3.242910,3.263470,2.946030,2.964300,2.810373,126479007
2010-02-02,2.882080,3.094470,2.882080,2.952880,2.799546,89174936
2010-02-03,2.973430,3.037380,2.758760,3.037380,2.879658,71876032
2010-02-04,3.037380,3.341110,2.996270,3.341110,3.167616,123255108
2010-02-05,3.272600,3.651700,3.210940,3.459870,3.280209,154843421
2010-02-08,3.357100,3.423330,3.172120,3.315990,3.143801,71018448
2010-02-09,3.242910,3.590040,3.197240,3.361670,3.187109,75537559
2010-02-10,3.345680,3.516960,3.311420,3.471290,3.291036,56960720
2010-02-11,3.469000,3.469000,3.256610,3.290870,3.119985,48892398
2010-02-12,3.322840,3.357100,3.215510,3.288590,3.117824,39053262
2010-02-22,3.322840,3.448450,3.215510,3.359380,3.184937,83263947
2010-02-23,3.329690,3.585470,3.224640,3.555780,3.371139,71837069
2010-02-24,3.484990,3.571770,3.459870,3.507830,3.325679,43732054
2010-02-25,3.530660,3.745340,3.507830,3.519250,3.336506,62889129
2010-02-26,3.473570,3.836690,3.466720,3.781880,3.585498,81301710
2010-03-01,3.743050,3.848100,3.722500,3.827550,3.628797,55434418
2010-03-02,3.813850,3.843540,3.679110,3.747620,3.553018,52900256
2010-03-03,3.711080,3.733920,3.608310,3.683670,3.492388,61034571
2010-03-04,3.653990,3.779590,3.425610,3.489560,3.308358,65560846
2010-03-05,3.494120,3.574050,3.379940,3.464440,3.284542,45742050
2010-03-08,3.398210,3.528380,3.398210,3.459870,3.280209,31523713
2010-03-09,3.480420,3.512390,3.391360,3.500980,3.319185,35965451
2010-03-10,3.457580,3.601460,3.421040,3.459870,3.280209,34759509
2010-03-11,3.471290,3.500980,3.277170,3.293150,3.122147,42286005
2010-03-12,3.302290,3.521530,3.224640,3.379940,3.204430,60301729
2010-03-15,3.352530,3.411910,3.240630,3.313710,3.141639,28184201
2010-03-16,3.306860,3.375370,3.245200,3.322840,3.150295,19186290
2010-03-17,3.352530,3.619730,3.288590,3.516960,3.334335,60117606
2010-03-18,3.516960,3.574050,3.439310,3.471290,3.291036,49337711
2010-03-19,3.475850,3.603740,3.453020,3.514680,3.332173,39064975
2010-03-22,3.510110,3.720210,3.482710,3.665400,3.475067,67380824
2010-03-23,3.660840,3.660840,3.539800,3.574050,3.388460,38959039
2010-03-24,3.574050,3.574050,3.482710,3.498690,3.317014,26666385
2010-03-25,3.514680,3.546650,3.361670,3.368520,3.193603,34396236
2010-03-26,3.359380,3.437030,3.345680,3.425610,3.247728,26196953
2010-03-29,3.402770,3.473570,3.345680,3.400490,3.223913,23751453
2010-03-30,3.391360,3.441600,3.354820,3.423330,3.245567,19508739
2010-03-31,3.405060,3.503260,3.368520,3.473570,3.293198,29905907
2010-04-01,3.471290,3.537520,3.430180,3.503260,3.321346,32220788
2010-04-02,3.505540,3.596890,3.475850,3.562640,3.377643,38253140
2010-04-06,3.599180,3.603740,3.471290,3.512390,3.330002,32655015
2010-04-07,3.491840,3.551220,3.473570,3.503260,3.321346,21597763
2010-04-08,3.491840,3.553500,3.455300,3.503260,3.321346,27034413
2010-04-09,3.516960,3.727070,3.516960,3.688240,3.496721,74304792
