19.190001,21153566
19.340000,28436532
20.110001,49129863
21.370001,111579759
20.990000,67287414
21.129999,65089700
20.480000,73314282
22.309999,94022495
22.360001,99227176
21.740000,94711145
20.299999,60695468
19.590000,46802190
18.850000,45960612
19.490000,37395246
19.020000,37796702
18.770000,28632754
19.120001,31270473
18.910000,24680172
17.799999,44579903
18.290001,28068846
18.059999,20413247
18.469999,29010896
19.400000,56604902
19.379999,35548156
19.280001,23951101
19.730000,34799426
19.570000,38147263
18.959999,27019437
19.959999,36693885
20.010000,36725182
20.209999,36093514
19.950001,26859312
19.520000,24259267
20.190001,29889842
19.719999,29186129
19.490000,25475045
19.879999,21437002
20.190001,33070179
20.180000,36195810
19.930000,31837088
19.680000,27270764
18.790001,48366603
18.700001,18960779
18.940001,26282609
19.030001,34374256
18.480000,23762142
17.670000,32759482
17.040001,41825405
17.049999,25484400
16.920000,12027834
